"gene","effect_size","pval","adj_pval"
"NRXN3",0.147665765948181,0.000441963050666192,0.0420917191110659
"AC008571.2",-0.338520817830652,7.94683240153205e-16,3.17873296061282e-12
"PDE1A",-0.214646333082985,3.2652767741865e-07,0.000163263838709325
"AC012494.1",-0.250890113056419,2.37448573806393e-09,2.37448573806393e-06
"MT-ATP6",0.1459878550331,0.000513251211309246,0.0456223298941552
"AL033523.1",-0.327434931147738,6.63598316150669e-15,1.32719663230134e-11
"LRP1B",0.202750430647974,1.40429184590184e-06,0.000424080095235668
"ESRRG",-0.207212714609445,8.19885778372264e-07,0.000327954311348906
"SVEP1",0.238815214311115,1.32703549198302e-08,1.06162839358642e-05
"AL354809.1",-0.184089634775368,1.18480298284053e-05,0.00249432206913797
"SORL1",-0.144766533957023,0.000571730342934075,0.0497156819942674
"KCNMB4",0.146377858899148,0.000495784558856774,0.045071323532434
"SGCD",-0.194437627161808,3.71729044018566e-06,0.000874656574161331
"SYNDIG1",-0.163341529871445,0.000101628821815241,0.0131133963632568
"CDH20",-0.19774385629527,2.53537147633038e-06,0.000633842869082595
"GRIA4",-0.291079646230053,4.32400235151414e-12,5.76533646868553e-09
"PREX2",-0.179804430771438,1.88241213358896e-05,0.00327376023232862
"ERC2",0.177071793634446,2.51579540221874e-05,0.00387045446495191
"CSMD2",0.210934321587944,5.19065174881283e-07,0.00023069563328057
"ABCA8",-0.17641984022215,2.69443281824636e-05,0.00399175232332794
"PBX1",-0.156658113277152,0.000193281449036063,0.0198262889743051
"ABTB2",-0.205870752270081,9.65013791802675e-07,0.000350914106110064
"DAAM2",-0.151496823656348,0.000312359599357269,0.0304741072543677
"EPB41L2",-0.169260772160714,5.63690619630162e-05,0.00777504302938155
"ZDHHC14",-0.161905665752609,0.000116916143079344,0.0137548403622758
"LRP2",-0.15665675017902,0.000193306317499475,0.0198262889743051
"ANLN",-0.182528711179178,1.4040689224967e-05,0.0027341687456527
"IGF1R",-0.168036790273591,6.37741672376465e-05,0.00850322229835287
"WWOX",-0.173771558908807,3.55186975419342e-05,0.00507409964884775
"FTH1",0.201902530283812,1.55356726324789e-06,0.000424080095235668
"CPQ",-0.158672171491219,0.000159646236816418,0.0177384707573798
"HIP1",-0.157411156448492,0.000179993153439466,0.0194587192907531
"ZDHHC20",-0.227481776023199,6.20223178282684e-08,3.54413244732962e-05
"DEPTOR",-0.191680744903323,5.09119827344341e-06,0.00113137739409853
"GDAP1",-0.1626873376416,0.000108343765355272,0.0131325776188209
"MAGI1",-0.203366877347497,1.30452859085981e-06,0.000424080095235668
"CD9",0.201705914008705,1.59030035713376e-06,0.000424080095235668
"CHRM5",-0.181960745328235,1.49306292274497e-05,0.0027341687456527
"FTL",0.147312424100053,0.000456159183274707,0.0424334123976471
"CLIC4",0.178323423213985,2.2039401337284e-05,0.00352630421396544
"BCAS3",-0.234567024446584,2.38504818841043e-08,1.59003212560695e-05
"GLUL",0.181894460243951,1.50379281010898e-05,0.0027341687456527
"RFTN2",-0.162793198837093,0.000107229485589191,0.0131325776188209
"LIFR",-0.159873344987346,0.000142294650593689,0.0162622457821359
"AC119673.2",0.178615854224067,2.13657457614349e-05,0.00352630421396544
"RPL10",0.155922381839913,0.000207150285059555,0.0207150285059555
