"gene","frequency","avg_logfc","min_fdr"
"Gm42418",25,0.265366270638173,1.0024730121867e-90
"Rps29",25,0.258221937464464,7.5245440213141e-73
"Hsp90ab1",25,0.219936959995314,1.02165943324431e-50
"Hspa8",24,0.303320250190046,1.54157117667743e-218
"Rps27",23,0.249065901765015,4.59606792150071e-61
"AY036118",21,0.238998657441183,3.4803085115054e-70
"Rpl38",21,0.228752014982512,2.94751368256503e-54
"mt-Co1",21,0.146796069619699,2.19983965820047e-42
"Hsp90aa1",21,0.244950838988244,1.44968742921722e-38
"Rps28",20,0.267391552190324,2.80603226549917e-63
"Rps21",20,0.189055486795767,1.6063374236607e-40
"mt-Nd2",20,0.16815860650119,2.84259170837267e-34
"Rpl37",20,0.203416172145389,1.86406469673372e-33
"Chchd2",20,0.194703263475648,2.95683736849466e-30
"Eif1",20,0.18328895811255,2.12152392733291e-24
"mt-Nd1",19,0.238782200050032,3.29007949632129e-55
"Rpl37a",19,0.207898708987555,6.1058655657557e-36
"Rpl41",18,0.174725430207685,2.05339466749453e-41
"mt-Nd4",18,0.156413487411697,4.28365458027821e-30
"mt-Nd5",18,0.16024415058567,2.10488164414764e-12
"mt-Nd4l",17,0.203899506981983,5.15089951918628e-80
"Cst3",17,0.243200731668203,9.99404469909559e-39
"mt-Cytb",17,0.156208083823144,8.67860506940583e-37
"Cox7c",16,0.185143167553036,1.6792272074697e-58
"mt-Co3",16,0.159332510873328,1.51333221474345e-30
"Hsp90b1",15,0.318842563184697,2.61376448266842e-127
"Ubc",15,0.262930397967387,2.83246824564401e-51
"H3f3b",15,0.16341138716333,3.21080234158206e-33
"Rpl39",15,0.202049715010419,6.16757291293173e-28
"mt-Co2",15,0.145583112161563,1.38910055335387e-20
"Ftl1",15,0.162503870186056,8.49007938016602e-15
"Rpl36",14,0.145764734490264,1.229825849244e-28
"Ddx5",14,0.144302305140665,4.08533584088298e-27
"mt-Atp6",14,0.138271299999944,1.86867954514167e-25
"mt-Nd3",14,0.146027833419042,9.77143771571483e-20
"Fos",13,0.256989497085954,7.70926062993408e-61
"Egr1",13,0.310161939936795,1.24869822245709e-35
"Calm1",13,0.180194997931825,1.23449683299717e-23
"Actg1",13,0.196081506462069,1.39710626330064e-22
"Rpl34",13,0.141818354485007,4.81958682571222e-19
"Rpl35a",13,0.148715217373952,1.40933214829902e-15
"Tpt1",13,0.171582188072432,3.24102040278008e-10
"Rps26",13,0.176627641626087,4.15584680494983e-10
"Srrm2",12,0.304140015216033,8.52208697850318e-89
"Qk",12,0.173074204541402,4.09339007159748e-80
"Cox6c",12,0.207171544600234,4.13408227729218e-51
"Psap",12,0.221556684968947,2.42630340166863e-28
"Ubb",12,0.226680241777579,6.89894462132194e-26
"Sparc",12,0.187172320415981,1.37627660609204e-24
"Ppia",12,0.213129779835652,2.31763691734908e-23
