"","D1","D2","D3","N1","N2","N3","W1","W2","W3"
"0",979,2398,2682,828,3204,2951,471,3461,286
"1",1562,983,2017,1405,1278,1681,821,981,312
"10",139,143,239,205,314,175,93,149,913
"11",153,247,253,220,296,171,138,276,250
"12",167,292,212,185,213,152,100,262,236
"13",67,152,501,113,115,228,162,191,186
"14",61,57,179,161,90,74,105,83,568
"15",110,113,224,94,225,257,41,143,132
"16",1,0,3,7,9,6,4,14,1285
"17",62,142,141,112,179,75,41,88,480
"18",36,91,86,91,68,85,21,60,533
"19",43,31,244,78,79,212,142,59,93
"2",1339,1471,1094,1034,1428,1053,680,1333,935
"20",102,74,139,105,96,93,78,73,56
"21",97,95,83,98,129,93,27,52,87
"22",103,90,58,73,126,70,31,73,137
"23",68,79,43,90,100,81,33,87,151
"24",136,75,33,94,40,49,31,66,180
"25",48,57,65,26,83,57,21,95,103
"26",26,33,74,50,74,64,16,51,59
"27",42,31,64,34,46,46,10,41,78
"28",39,30,26,54,50,33,18,44,40
"29",22,32,31,25,43,21,9,14,33
"3",880,946,1950,842,1088,1428,1792,868,309
"30",15,33,15,27,19,25,19,15,20
"31",8,14,42,10,27,28,12,14,18
"32",5,22,10,6,7,9,6,10,5
"33",3,7,15,5,9,15,2,4,7
"4",862,639,887,630,777,905,376,472,802
"5",483,726,346,501,451,301,550,546,204
"6",477,505,503,392,650,544,188,439,376
"7",360,478,375,468,695,377,348,413,515
"8",256,339,238,295,581,208,102,220,424
"9",291,229,42,299,119,163,138,431,713
