"predicted_celltype","n_cells","mean_confidence","sd_confidence","confident_cells","confident_percent"
"ASC",12761,18.0248133215581,1.43834518254519,12761,100
"DC",732,59.614370104909,0,732,100
"EC",4890,55.8239685805991,6.17318845009667,4890,100
"EPIC",48380,89.6149254926222,227.516169506664,48380,100
"MAC",1819,31.6025096464198,0,1819,100
"MG",10447,12.1381334820627,0.443059503604408,10447,100
"NEUR",2869,14.9431566956544,2.81167161892486,2869,100
"NEUT",334,14.363708865977,0,334,100
"OLG",2004,26.5589638145214,0,2004,100
"OPC",6647,18.2644297372629,1.67182569457925,6647,100
"PC",2341,77.2618729148362,37.2260167811766,2341,100
"VSMC",761,91.5026351200884,0,761,100
