"SYMBOL","ENSEMBL","ENTREZID"
"1500015A07Rik","ENSMUSG00000098702","68982"
"AA465934","ENSMUSG00000093483","613254"
"Banp","ENSMUSG00000025316","53325"
"BC023719","ENSMUSG00000092365","100416360"
"Ccar1","ENSMUSG00000020074","67500"
"Cyp2u1","ENSMUSG00000027983","71519"
"Dctd","ENSMUSG00000031562","320685"
"Erlec1","ENSMUSG00000020311","66753"
"Gm10036","ENSMUSG00000058064","100040551"
"Gm10263","ENSMUSG00000066407","100042864"
"Gm12901","ENSMUSG00000083720","194197"
"Hps1","ENSMUSG00000025188","192236"
"Hyi","ENSMUSG00000006395","68180"
"Irgm2","ENSMUSG00000069874","54396"
"Mid1-ps1","ENSMUSG00000095134","107988026"
"Nfu1","ENSMUSG00000029993","56748"
"Nsun3","ENSMUSG00000050312","106338"
"P4ha1","ENSMUSG00000019916","18451"
"Plekhm1","ENSMUSG00000034247","353047"
"Pmch","ENSMUSG00000035383","110312"
"Ptpn9","ENSMUSG00000032290","56294"
"Pycr3","ENSMUSG00000022571","66194"
"Rps18-ps6","ENSMUSG00000069117","100039740"
"Sgk1","ENSMUSG00000019970","20393"
"Tbx3","ENSMUSG00000018604","21386"
"Zbtb16","ENSMUSG00000066687","235320"
